Potion Number,Ranking,Artist,Artist Rarity,Element,Element Rarity,Finish,Finish Rarity,Color,Color Rarity,Shape,Shape Rarity,Taste,Taste Rarity,Matter,Matter Rarity,Potency,Potency Rarity,Temperature,Temperature Rarity,Superpower,Superpower Rarity,tokenid,ipfsnew
962,1,Shantell Martin,0.33%,"Yesterday, Today, Tomorrow",0.03%,Sheen,0.33%,Black & White,1.33%,Spool,10.00%,Salty,30.00%,Liquid,50.00%,Severe,9.00%,Chilled,2.00%,Honesty,3.00%,164761611,https://ipfs.some.place/ipfs/QmP2BTN3XGkgnAqDfeX9u3RFX7YjzYXGZnqWiDDK1rZWnn
1125,1,Shantell Martin,0.33%,Face Your Fears,0.03%,Sheen,0.33%,Black & White,1.33%,Carrot,10.00%,Sweet,30.00%,Gas,2.00%,Moderate,50.00%,Toasty,22.00%,Charm,6.00%,164762004,https://ipfs.some.place/ipfs/QmTZZv7ur3HETXZ1WPBA9QBP25w3Vhjob1iRrMbxSmMJMx
2079,1,Shantell Martin,0.33%,Keep It Confidential,0.03%,Sheen,0.33%,Black & White,1.33%,Original,10.00%,Sour,21.00%,Condensate,10.00%,Mild,40.00%,Toasty,22.00%,Courage,3.00%,164765386,https://ipfs.some.place/ipfs/QmSAPcvhTR3pR1oaxdtwbaeczFykQMENqazSfTMoQmAqfc
2584,1,Shantell Martin,0.33%,You Are You,0.03%,Sheen,0.33%,Black & White,1.33%,Beacon,10.00%,Sweet,30.00%,Solid,30.00%,Mild,40.00%,Ambient,41.00%,Courage,3.00%,164767555,https://ipfs.some.place/ipfs/QmcaumnHQZv76vhb4JcbZNobMTAKYHgbJKJrw3GegKx7b9
1293,1,Shantell Martin,0.33%,Join The Club,0.03%,Sheen,0.33%,Black & White,1.33%,Edamame,10.00%,Salty,30.00%,Liquid,50.00%,Moderate,50.00%,Ambient,41.00%,Gratitude,4.00%,164762547,https://ipfs.some.place/ipfs/Qmf2dUSKvmmDD9GH23jgw7QmScj1ekvcnm2T47T7TZRP9w
2484,1,Shantell Martin,0.33%,Who Are You,0.03%,Sheen,0.33%,Black & White,1.33%,Blimp,10.00%,Sweet,30.00%,Solid,30.00%,Mild,40.00%,Ambient,41.00%,Love,5.00%,164767013,https://ipfs.some.place/ipfs/QmYg2pfmMY4LYPYVXU3UUo5gtZ6xnkRzHcdtyuKAM93dtf
94,1,Shantell Martin,0.33%,Mixed Messages,0.03%,Sheen,0.33%,Black & White,1.33%,Drillbit,10.00%,Salty,30.00%,Solid,30.00%,Moderate,50.00%,Ambient,41.00%,Wisdom,5.00%,164752167,https://ipfs.some.place/ipfs/QmSMXrepPddqsoVFhZ8ZPGZZ4DbLxggbRwPM4BC4eEMwR9
1702,1,Shantell Martin,0.33%,Look Up,0.03%,Sheen,0.33%,Black & White,1.33%,Wormhole,10.00%,Sweet,30.00%,Liquid,50.00%,Moderate,50.00%,Ambient,41.00%,Artistry,5.00%,164763860,https://ipfs.some.place/ipfs/QmUFUVH8Po8UzY2V8dc2vwMtTgpDcBydrBPQYSPBRwaAx3
2193,1,Shantell Martin,0.33%,Safe Passage,0.03%,Sheen,0.33%,Black & White,1.33%,Classic,10.00%,Sweet,30.00%,Condensate,10.00%,Moderate,50.00%,Toasty,22.00%,Pride,15.00%,164765780,https://ipfs.some.place/ipfs/QmSynx6y5XopLJbLRTAQjPDVti6W2rEb1fL8pEHgbKoGPA
1379,1,Shantell Martin,0.33%,Etched In Time,0.03%,Sheen,0.33%,Black & White,1.33%,Hourglass,10.00%,Sour,21.00%,Liquid,50.00%,Mild,40.00%,Toasty,22.00%,Kindness,15.00%,164762823,https://ipfs.some.place/ipfs/Qmb6ZvxXn5ZdiBKTjBbUDdNurzX2dNESHq5et8QCM7K84w
1102,1,Amber Vittoria,0.33%,To Hold Your Wishes,0.17%,Matte,0.07%,Polychromatic,2.67%,Classic,10.00%,Salty,30.00%,Liquid,50.00%,Mild,40.00%,Toasty,22.00%,Loyalty,2.00%,164761979,https://ipfs.some.place/ipfs/QmNuiJpKbgA1gJA3v2VWAsfb6hTGkR3Eppz8ZfiqcpqAhH
2313,1,Amber Vittoria,0.33%,A Place For stour Dreams,0.17%,Matte,0.07%,Polychromatic,2.67%,Wormhole,10.00%,Salty,30.00%,Solid,30.00%,Moderate,50.00%,Ambient,41.00%,Courage,3.00%,164766143,https://ipfs.some.place/ipfs/QmWhaGGbMs4UCGxYYFDTtnzWF9dn7d45gH2NHXHjJfZgFc
1526,1,Amber Vittoria,0.33%,A Place For stour Dreams,0.17%,Strathmore mixed media,0.27%,Polychromatic,2.67%,Hourglass,10.00%,Sweet,30.00%,Solid,30.00%,Mild,40.00%,Ambient,41.00%,Humanity,2.00%,164763210,https://ipfs.some.place/ipfs/QmbZuy9anYdurb9YhfVdNKV2AdiE7VNBULnsxFprfU4jur
986,1,Amber Vittoria,0.33%,A Place For stour Dreams,0.17%,Strathmore mixed media,0.27%,Polychromatic,2.67%,Drillbit,10.00%,Salty,30.00%,Liquid,50.00%,Moderate,50.00%,Ambient,41.00%,Loyalty,2.00%,164761637,https://ipfs.some.place/ipfs/QmfZmd6LFbBrXJhV5x7LYqMGifX4tydQ2ymLRn31rGfpxn
2613,1,Amber Vittoria,0.33%,A Place For stour Dreams,0.17%,Strathmore mixed media,0.27%,Polychromatic,2.67%,Carrot,10.00%,Sweet,30.00%,Condensate,10.00%,Mild,40.00%,Steamy,30.00%,Artistry,5.00%,164767587,https://ipfs.some.place/ipfs/QmbWYsf11tHs1VY2zShxkdtC7n924QL39RjdU9QyBEn7ow
1352,1,Amber Vittoria,0.33%,To Hold Your Wishes,0.17%,Strathmore mixed media,0.27%,Polychromatic,2.67%,Blimp,10.00%,Salty,30.00%,Solid,30.00%,Mild,40.00%,Ambient,41.00%,Wisdom,5.00%,164762794,https://ipfs.some.place/ipfs/QmV7rRNFc6BFKNKTKAUfC5g46X5Li65m5X446iWTzGFHgn
129,1,Amber Vittoria,0.33%,A Place For stour Dreams,0.17%,Strathmore mixed media,0.27%,Polychromatic,2.67%,Edamame,10.00%,Sweet,30.00%,Solid,30.00%,Mild,40.00%,Ambient,41.00%,Wisdom,5.00%,164752511,https://ipfs.some.place/ipfs/QmZqLTj6FvttoPCkm9jhwZ99LR5pRe36vFiPyTxuV8Qj29
2283,1,Amber Vittoria,0.33%,To Hold Your Wishes,0.17%,Strathmore mixed media,0.27%,Polychromatic,2.67%,Original,10.00%,Salty,30.00%,Solid,30.00%,Severe,9.00%,Steamy,30.00%,Elegance,12.00%,164766110,https://ipfs.some.place/ipfs/QmcHtBWRmx641swH2mParjrm3heTBZg8GfoXgNKED7LmTu
2700,1,Amber Vittoria,0.33%,To Hold Your Wishes,0.17%,Strathmore mixed media,0.27%,Polychromatic,2.67%,Spool,10.00%,Sweet,30.00%,Liquid,50.00%,Mild,40.00%,Toasty,22.00%,Pride,15.00%,164767991,https://ipfs.some.place/ipfs/QmUdWTno6dofzLoHNjnbCn1afcK56isdYRJY1PZQAb1Nc9
2979,1,Amber Vittoria,0.33%,To Hold Your Wishes,0.17%,Strathmore mixed media,0.27%,Polychromatic,2.67%,Beacon,10.00%,Salty,30.00%,Liquid,50.00%,Moderate,50.00%,Steamy,30.00%,Kindness,15.00%,164769828,https://ipfs.some.place/ipfs/QmV5FX2yv2WCknNCzcVGdNeFNFT1TAanW2bQrCrdL3neFX
1662,21,,,Galaxy,0.33%,Hubble,0.33%,Night Sky,0.33%,Blimp,10.00%,Sweet,30.00%,Solid,30.00%,Mild,40.00%,Chilled,2.00%,Love,5.00%,164763816,https://ipfs.some.place/ipfs/QmQ7PG6rs55ZenepNDx8tJ1UTnSWyjZwbmqwzWem5YvDkN
321,22,,,Galaxy,0.33%,Hubble,0.33%,Night Sky,0.33%,Edamame,10.00%,Sweet,30.00%,Solid,30.00%,Mild,40.00%,Boling,5.00%,Sympathy,3.00%,164754514,https://ipfs.some.place/ipfs/QmamxNQEJZd3cpQd4kepZc1VuLbaBh2JQ5HVRAVGtSb5jM
1990,23,,,Galaxy,0.33%,Hubble,0.33%,Night Sky,0.33%,Wormhole,10.00%,Sour,21.00%,Condensate,10.00%,Mild,40.00%,Steamy,30.00%,Honesty,3.00%,164765069,https://ipfs.some.place/ipfs/QmPYQa1PsFpZe9LB42cneiyhoW5j26qk2JXRNcdGM6NEMN
2355,24,,,Galaxy,0.33%,Hubble,0.33%,Night Sky,0.33%,Carrot,10.00%,Salty,30.00%,Plasma,8.00%,Moderate,50.00%,Toasty,22.00%,Gratitude,4.00%,164766487,https://ipfs.some.place/ipfs/QmYi7MEETeLVTVHKvsKbnxJuzRMNiK9QEoCRAx5B2QB9Wx
2436,25,,,Galaxy,0.33%,Hubble,0.33%,Night Sky,0.33%,Original,10.00%,Sour,21.00%,Solid,30.00%,Severe,9.00%,Boling,5.00%,Pride,15.00%,164766576,https://ipfs.some.place/ipfs/QmNiWLK4sHTvGxz2R3ZWg8xcHV2wQWM36QFGXp5ASD8F72
1427,26,,,Landscape,0.33%,Pacific,0.33%,Pacific Blue,0.33%,Hourglass,10.00%,Sour,21.00%,Liquid,50.00%,Moderate,50.00%,Steamy,30.00%,Empathy,3.00%,164762876,https://ipfs.some.place/ipfs/QmZbNMwyiCyaUWf39jnNQmvfGW7nX41TcEeS9fKTw9L114
1665,27,,,Galaxy,0.33%,Hubble,0.33%,Night Sky,0.33%,Hourglass,10.00%,Sour,21.00%,Liquid,50.00%,Mild,40.00%,Toasty,22.00%,Gratitude,4.00%,164763819,https://ipfs.some.place/ipfs/QmfQWgu7w18tMg7dpEf6kQVKELF6k3cRGYA4DRsB9Dv98Z
119,28,,,Landscape,0.33%,Pacific,0.33%,Pacific Blue,0.33%,Drillbit,10.00%,Sweet,30.00%,Plasma,8.00%,Mild,40.00%,Ambient,41.00%,Charm,6.00%,164752373,https://ipfs.some.place/ipfs/QmPiN18KnMVPVgQZb6TMgqZZ6RwhDKzRadC5eY524p8BKz
2565,29,,,Galaxy,0.33%,Hubble,0.33%,Night Sky,0.33%,Classic,10.00%,Bitter,18.00%,Liquid,50.00%,Mild,40.00%,Toasty,22.00%,Artistry,5.00%,164767534,https://ipfs.some.place/ipfs/QmTgozzAiPgFaijZ4TZH5E5qW5xgoKyKWRCz1fpDgBwwHR
1670,30,,,Landscape,0.33%,Pacific,0.33%,Pacific Blue,0.33%,Wormhole,10.00%,Sour,21.00%,Solid,30.00%,Moderate,50.00%,Steamy,30.00%,Patience,5.00%,164763825,https://ipfs.some.place/ipfs/QmUnhrktY5BsEvJ7xvd8RnMDoXTDZkyjWkFCygMBoKCrJ5
1802,31,,,Landscape,0.33%,Pacific,0.33%,Pacific Blue,0.33%,Beacon,10.00%,Sour,21.00%,Solid,30.00%,Moderate,50.00%,Ambient,41.00%,Artistry,5.00%,164764207,https://ipfs.some.place/ipfs/QmRrxuxvUrM6FRmnMWyL1fqUuipFuYNuoN2AUP8PVjvxRP
357,32,,,Landscape,0.33%,Pacific,0.33%,Pacific Blue,0.33%,Edamame,10.00%,Sour,21.00%,Solid,30.00%,Moderate,50.00%,Ambient,41.00%,Courtesy,5.00%,164754826,https://ipfs.some.place/ipfs/QmNZnCAR9aGRmd8Qt2JBCdUSb8Lu4aL5QGy2jvexXCTFVU
1996,33,,,Landscape,0.33%,Pacific,0.33%,Pacific Blue,0.33%,Spool,10.00%,Sour,21.00%,Liquid,50.00%,Moderate,50.00%,Ambient,41.00%,Wisdom,5.00%,164765075,https://ipfs.some.place/ipfs/QmVbMfd6iM5KBjQ85emztXLHP9m2WgA4aGN8oZYv2wxeto
1031,34,,,Galaxy,0.33%,Hubble,0.33%,Night Sky,0.33%,Spool,10.00%,Bitter,18.00%,Condensate,10.00%,Moderate,50.00%,Steamy,30.00%,Elegance,12.00%,164761687,https://ipfs.some.place/ipfs/QmShjDP5LGW7EgUGDu7Xb8BJ5rhjN334rVvBHTCCC9EK6H
2878,35,,,Landscape,0.33%,Pacific,0.33%,Pacific Blue,0.33%,Carrot,10.00%,Sweet,30.00%,Liquid,50.00%,Severe,9.00%,Ambient,41.00%,Pride,15.00%,164769065,https://ipfs.some.place/ipfs/QmT5UBKteGYLgwJJfz92pMWkeWpACnm9VjaJYQEYwQxRBF
535,36,,,Landscape,0.33%,Pacific,0.33%,Pacific Blue,0.33%,Classic,10.00%,Bitter,18.00%,Liquid,50.00%,Mild,40.00%,Ambient,41.00%,Elegance,12.00%,164756902,https://ipfs.some.place/ipfs/QmRcWLz6G1HX8nXp9BowmcA3VdRDECCSiSy1oGGQQw5vWn
2749,37,,,Galaxy,0.33%,Hubble,0.33%,Night Sky,0.33%,Beacon,10.00%,Sour,21.00%,Liquid,50.00%,Mild,40.00%,Ambient,41.00%,Elegance,12.00%,164768044,https://ipfs.some.place/ipfs/Qmagfm4FFe1pztGiXarEUAjaPh5UtC9PMdz6BHwzVRCC4y
125,38,,,Landscape,0.33%,Pacific,0.33%,Pacific Blue,0.33%,Blimp,10.00%,Salty,30.00%,Solid,30.00%,Moderate,50.00%,Ambient,41.00%,Elegance,12.00%,164752507,https://ipfs.some.place/ipfs/QmPxichSFqKRM45W8gbFiWsBqnD9bjZv6bFapQCeq22Yzj
190,39,,,Galaxy,0.33%,Hubble,0.33%,Night Sky,0.33%,Drillbit,10.00%,Bitter,18.00%,Liquid,50.00%,Moderate,50.00%,Ambient,41.00%,Pride,15.00%,164753253,https://ipfs.some.place/ipfs/QmaK2tFN4AbGJPpKynJgTASv2SyDsdKScdfjbiNRqcU4QP
1477,40,,,Landscape,0.33%,Pacific,0.33%,Pacific Blue,0.33%,Original,10.00%,Sweet,30.00%,Liquid,50.00%,Mild,40.00%,Ambient,41.00%,Kindness,15.00%,164763156,https://ipfs.some.place/ipfs/Qma4RTHMimwd1pAHxBXJ767N5AAyTGD3JYmGaSUnK9saah
2211,41,,,Salt,0.33%,Himalayan,0.33%,Pink,0.67%,Drillbit,10.00%,Bitter,18.00%,Liquid,50.00%,Moderate,50.00%,Boling,5.00%,Humor,1.00%,164765800,https://ipfs.some.place/ipfs/QmVKmGSdZenpjzRNmLr5CCw47pb2ox1EwSVMtHPqfLkYPt
1000,42,,,Music,0.33%,Lullaby,0.33%,Tans,0.67%,Drillbit,10.00%,Salty,30.00%,Liquid,50.00%,Mild,40.00%,Toasty,22.00%,Humor,1.00%,164761653,https://ipfs.some.place/ipfs/QmTpNfD2CzD2mFy65uEUyM2dd1yGkiX6LBECt9wqcHsevV
347,43,,,Music,0.33%,Lullaby,0.33%,Tans,0.67%,Wormhole,10.00%,Salty,30.00%,Liquid,50.00%,Moderate,50.00%,Toasty,22.00%,Humor,1.00%,164754741,https://ipfs.some.place/ipfs/QmVmrHGJmJ3wcYTjRx97vtNiQLZZXpQTWCwtNsJ2jJTFzd
2539,44,,,Salt,0.33%,Himalayan,0.33%,Pink,0.67%,Edamame,10.00%,Salty,30.00%,Liquid,50.00%,Moderate,50.00%,Chilled,2.00%,Compassion,2.00%,164767073,https://ipfs.some.place/ipfs/QmbumG7uQz77FP26fHbyx3cKRJRWoZBvUxARZduw1V95CM
2112,45,,,Music,0.33%,Lullaby,0.33%,Tans,0.67%,Carrot,10.00%,Bitter,18.00%,Liquid,50.00%,Moderate,50.00%,Ambient,41.00%,Humanity,2.00%,164765423,https://ipfs.some.place/ipfs/QmY6c7bWRDPU8zRfU4otfwGrxqYEi6Qx8E26J6WTb4HYuZ
1049,46,,,Music,0.33%,Lullaby,0.33%,Tans,0.67%,Edamame,10.00%,Salty,30.00%,Solid,30.00%,Mild,40.00%,Toasty,22.00%,Honesty,3.00%,164761706,https://ipfs.some.place/ipfs/QmR75KSv92LjsiKN1Uc3YowWCbfCNpBqzsN1hbZ448JHju
1747,47,,,Salt,0.33%,Himalayan,0.33%,Pink,0.67%,Spool,10.00%,Bitter,18.00%,Liquid,50.00%,Mild,40.00%,Steamy,30.00%,Empathy,3.00%,164763909,https://ipfs.some.place/ipfs/QmP5pxFM4NtFWGjmjRmiE9eeb6BE97Jk8rDaUDRvCvm8Zw
2021,48,,,Salt,0.33%,Himalayan,0.33%,Pink,0.67%,Hourglass,10.00%,Sweet,30.00%,Liquid,50.00%,Moderate,50.00%,Steamy,30.00%,Sympathy,3.00%,164765103,https://ipfs.some.place/ipfs/QmX2V7aR64wwY8hdcZi65xxWuctFvgEc2m9eLRS8DzYJra
102,49,,,Salt,0.33%,Himalayan,0.33%,Pink,0.67%,Wormhole,10.00%,Sweet,30.00%,Liquid,50.00%,Moderate,50.00%,Steamy,30.00%,Fairness,3.00%,164752271,https://ipfs.some.place/ipfs/QmSgtWUQKx9YqiPQViqij3JzVQBevHrBSCsT5vXASZBkYt
1319,50,,,Salt,0.33%,Himalayan,0.33%,Pink,0.67%,Blimp,10.00%,Salty,30.00%,Liquid,50.00%,Moderate,50.00%,Ambient,41.00%,Fairness,3.00%,164762575,https://ipfs.some.place/ipfs/QmTDCs3eCpVwGDvWG1UMNk92zhhkdmo3LJwxB1Mc2TospL
896,51,,,Salt,0.33%,Himalayan,0.33%,Pink,0.67%,Classic,10.00%,Salty,30.00%,Plasma,8.00%,Moderate,50.00%,Toasty,22.00%,Courtesy,5.00%,164761226,https://ipfs.some.place/ipfs/QmZsebx2GvvmTHFxeuqk88bJrS46qkwpc7WGs1Tc7mree6
531,52,,,Music,0.33%,Lullaby,0.33%,Tans,0.67%,Classic,10.00%,Sour,21.00%,Solid,30.00%,Moderate,50.00%,Toasty,22.00%,Love,5.00%,164756898,https://ipfs.some.place/ipfs/QmdiAP6kELLREDuTD7DaZ3EPJnefFcYLqSqcQW7cZ4ZJhE
1036,53,,,Music,0.33%,Lullaby,0.33%,Tans,0.67%,Beacon,10.00%,Bitter,18.00%,Solid,30.00%,Moderate,50.00%,Ambient,41.00%,Courtesy,5.00%,164761692,https://ipfs.some.place/ipfs/QmbFQu2LTtWZFSYJxzA7zxjGqs6kAK8ASKdfNaAS4F3bHo
2403,54,,,Music,0.33%,Lullaby,0.33%,Tans,0.67%,Blimp,10.00%,Sour,21.00%,Solid,30.00%,Moderate,50.00%,Ambient,41.00%,Courtesy,5.00%,164766540,https://ipfs.some.place/ipfs/QmcxfAfDjfvz1gLrgmtYwAzgFJjuN3L7emHBZXEFrsvhLi
2714,55,,,Salt,0.33%,Himalayan,0.33%,Pink,0.67%,Carrot,10.00%,Sour,21.00%,Plasma,8.00%,Mild,40.00%,Toasty,22.00%,Pride,15.00%,164768006,https://ipfs.some.place/ipfs/QmRPsvAsbdv624NhKgc5gBcYxRimdAnRz4p5we5TosW67X
2532,56,,,Stone,2.00%,Stacked,0.33%,Beiges,0.33%,Blimp,10.00%,Bitter,18.00%,Liquid,50.00%,Toxic,1.00%,Steamy,30.00%,Love,5.00%,164767066,https://ipfs.some.place/ipfs/QmPjZxsFJuTPBVt1szPqKDmU9QM7fh7RqVQZDvjmHPNdx8
2844,57,,,Marble,10.33%,Verde Guatemala,0.33%,Emerald Green,0.33%,Wormhole,10.00%,Salty,30.00%,Gas,2.00%,Toxic,1.00%,Toasty,22.00%,Elegance,12.00%,164768642,https://ipfs.some.place/ipfs/QmVq21KhnA1vdjk7ZwjwFuFfcmhugPweMUCbxR3kNUpWAQ
2732,58,,,Stone,2.00%,Stacked,0.33%,Beiges,0.33%,Drillbit,10.00%,Umami,1.00%,Liquid,50.00%,Moderate,50.00%,Toasty,22.00%,Charm,6.00%,164768026,https://ipfs.some.place/ipfs/QmZEEdB3Po2f6Nt5ZeV4C8c6ieBCAMd5JQnvTucWa4aG2L
1197,59,,,Salt,0.33%,Himalayan,0.33%,Pink,0.67%,Beacon,10.00%,Bitter,18.00%,Solid,30.00%,Moderate,50.00%,Toasty,22.00%,Elegance,12.00%,164762258,https://ipfs.some.place/ipfs/QmexJu88GJtNC4QkbtemB2WVkmnmJu76UBtWpfxKUitB8q
436,60,,,Music,0.33%,Lullaby,0.33%,Tans,0.67%,Original,10.00%,Sour,21.00%,Liquid,50.00%,Moderate,50.00%,Steamy,30.00%,Elegance,12.00%,164755765,https://ipfs.some.place/ipfs/QmcYNziKitHL43225FAFpuYeicdvANRmVjDcrXmYqLF1mP
1483,61,,,Salt,0.33%,Himalayan,0.33%,Pink,0.67%,Original,10.00%,Salty,30.00%,Solid,30.00%,Moderate,50.00%,Steamy,30.00%,Elegance,12.00%,164763163,https://ipfs.some.place/ipfs/QmY6dAZ1QU15bjhHedMvTKCaLs4MxtMJkTr1CA7MzkCVaP
2603,62,,,Music,0.33%,Lullaby,0.33%,Tans,0.67%,Spool,10.00%,Sour,21.00%,Liquid,50.00%,Mild,40.00%,Steamy,30.00%,Kindness,15.00%,164767576,https://ipfs.some.place/ipfs/QmZ9KXVf3AtwreLuiCTCXrzjcW92rAn9SQUzR9i4TYyUL9
1533,63,,,Music,0.33%,Lullaby,0.33%,Tans,0.67%,Hourglass,10.00%,Sweet,30.00%,Liquid,50.00%,Moderate,50.00%,Steamy,30.00%,Elegance,12.00%,164763218,https://ipfs.some.place/ipfs/QmZPo4XziwFEwCKJtcQBBs6ZyK4DoszZesujEUQqVRYhXj
2783,64,,,Stone,2.00%,Stacked,0.33%,Beiges,0.33%,Edamame,10.00%,Sweet,30.00%,Liquid,50.00%,Toxic,1.00%,Toasty,22.00%,Kindness,15.00%,164768575,https://ipfs.some.place/ipfs/QmTWLQnr7FvXe6WEGGSLQFfzWXNp8FrAmJVxqA6RJ4TPtW
2326,65,,,Fabric,5.00%,Knit,0.33%,Cobalt Blue,0.33%,Edamame,10.00%,Umami,1.00%,Liquid,50.00%,Mild,40.00%,Toasty,22.00%,Fairness,3.00%,164766157,https://ipfs.some.place/ipfs/QmYKJcQL633fVdqDFrPGM4Xj9S6oJL434b3ss13YtxXuM3
2440,66,,,Precious Metals,1.00%,Aereus,0.33%,Bronze,0.33%,Spool,10.00%,Sour,21.00%,Liquid,50.00%,Moderate,50.00%,Boling,5.00%,Honesty,3.00%,164766581,https://ipfs.some.place/ipfs/QmdEWtQr7Jykw5qXR7byHWf4Ai24aHdaJ9h7tpjBnPZvhj
620,67,,,Precious Metals,1.00%,Aereus,0.33%,Bronze,0.33%,Classic,10.00%,Salty,30.00%,Solid,30.00%,Moderate,50.00%,Ambient,41.00%,Humanity,2.00%,164757962,https://ipfs.some.place/ipfs/QmU9V9kHiURKZXWW6WV3haXwo5JozTePzZgCQCAfVG5Dqy
2004,68,,,Culinary,2.00%,Noodles,0.33%,Buffs,0.33%,Spool,10.00%,Sweet,30.00%,Liquid,50.00%,Mild,40.00%,Ambient,41.00%,Forgiveness,1.00%,164765084,https://ipfs.some.place/ipfs/QmcddDXTrHDhoqSmHywNmfhcNMKVRJLAFCx5GYPwe6iiso
342,69,,,Stone,2.00%,Stacked,0.33%,Beiges,0.33%,Original,10.00%,Salty,30.00%,Liquid,50.00%,Mild,40.00%,Ambient,41.00%,Forgiveness,1.00%,164754736,https://ipfs.some.place/ipfs/QmX72H7Jgcccb8a9D19dGLccYeyqiQc4QFK2tkqWsYy7pg
2515,70,,,Paper,3.00%,Folded,0.33%,Tennis Ball,0.33%,Carrot,10.00%,Salty,30.00%,Liquid,50.00%,Toxic,1.00%,Toasty,22.00%,Charm,6.00%,164767047,https://ipfs.some.place/ipfs/QmTPwrZhMzA7sEAbmfCQ4vpd9xCH8LXbxHRXGdbJ99Nnem
1778,71,,,Leather,2.00%,Full Grain,0.33%,Maroons,0.33%,Spool,10.00%,Salty,30.00%,Liquid,50.00%,Moderate,50.00%,Ambient,41.00%,Forgiveness,1.00%,164764180,https://ipfs.some.place/ipfs/QmdUUJEev7fiHNyLBEqx8aVSTwXhEvjHbFkrAEp36p1V1Y
2224,72,,,Culinary,2.00%,Noodles,0.33%,Buffs,0.33%,Original,10.00%,Salty,30.00%,Liquid,50.00%,Moderate,50.00%,Ambient,41.00%,Humor,1.00%,164765814,https://ipfs.some.place/ipfs/QmZ2HpCfXXdECreSWyGchnnyZHdUtPxeydFGszXyEqFUGa
1248,73,,,Ice,0.33%,Frozen Lake,0.33%,Blue,1.33%,Spool,10.00%,Bitter,18.00%,Gas,2.00%,Mild,40.00%,Ambient,41.00%,Wisdom,5.00%,164762314,https://ipfs.some.place/ipfs/QmXnmac9462jGaEMRrku1AkvMyYfQZ8bVpM5XGWEJRwBq6
634,74,,,Ice,0.33%,Frozen Lake,0.33%,Blue,1.33%,Edamame,10.00%,Sour,21.00%,Condensate,10.00%,Severe,9.00%,Toasty,22.00%,Humanity,2.00%,164758126,https://ipfs.some.place/ipfs/QmfPLoobf6pPoYLB9xW4KVG8RH2eEncYuE5LBZ6oKz2uXd
337,75,,,Precious Metals,1.00%,Argenti,0.33%,Silver,0.33%,Carrot,10.00%,Sweet,30.00%,Condensate,10.00%,Mild,40.00%,Ambient,41.00%,Honesty,3.00%,164754626,https://ipfs.some.place/ipfs/QmPMfSQ4midbvnNrMHoNaCcgU3joxva9cPTtn3vwq9cBE2
2692,76,,,Precious Metals,1.00%,Argenti,0.33%,Silver,0.33%,Edamame,10.00%,Sour,21.00%,Solid,30.00%,Moderate,50.00%,Boling,5.00%,Courtesy,5.00%,164767982,https://ipfs.some.place/ipfs/QmRFrvZmGZX6CKdHvLbL7T5kdDH7i4PWmvAu6aePYEXUgu
2353,77,,,Marble,10.33%,Verde Guatemala,0.33%,Emerald Green,0.33%,Hourglass,10.00%,Umami,1.00%,Liquid,50.00%,Moderate,50.00%,Ambient,41.00%,Fairness,3.00%,164766485,https://ipfs.some.place/ipfs/QmTJUUqYjhqx2oiLHGM8bDBU5h3NyVdnxa8RUUy9HUL7Dt
311,78,,,Terrain,4.00%,Fine Road,0.33%,Light Gray,0.33%,Wormhole,10.00%,Sweet,30.00%,Plasma,8.00%,Mild,40.00%,Steamy,30.00%,Humor,1.00%,164754435,https://ipfs.some.place/ipfs/QmTrUPeuFU8KY12mrgpLCiS5gMYs2x1ef8wpnvjMGzpvQS
2296,79,,,Binary Code,0.33%,Glossy,0.33%,Green,1.00%,Carrot,10.00%,Salty,30.00%,Liquid,50.00%,Moderate,50.00%,Toasty,22.00%,Fairness,3.00%,164766124,https://ipfs.some.place/ipfs/QmeoVC232zdwkgNJEEoqNbfiKX8A3SYCPWKtStZ2UMfQSF
2635,80,,,Precious Metals,1.00%,Aereus,0.33%,Bronze,0.33%,Original,10.00%,Salty,30.00%,Solid,30.00%,Mild,40.00%,Ambient,41.00%,Fairness,3.00%,164767611,https://ipfs.some.place/ipfs/QmVUAVk3MCFmtHvkSCvmgT8xrFPznGGgAvByxZ9n2RmLXB
642,81,,,Paper,3.00%,Folded,0.33%,Tennis Ball,0.33%,Blimp,10.00%,Sweet,30.00%,Solid,30.00%,Moderate,50.00%,Ambient,41.00%,Forgiveness,1.00%,164758254,https://ipfs.some.place/ipfs/QmTLdpgGVaTV8ZAjtaZTVCkNDgyjowoQNrdQj5pdr31vTG
2701,82,,,Precious Metals,1.00%,Argenti,0.33%,Silver,0.33%,Beacon,10.00%,Salty,30.00%,Solid,30.00%,Moderate,50.00%,Ambient,41.00%,Honesty,3.00%,164767992,https://ipfs.some.place/ipfs/QmXAiXfqoD6fN2fvJqk8ibky94BVa8SvVV7AG5k3HYru4u
2330,83,,,Binary Code,0.33%,Glossy,0.33%,Green,1.00%,Hourglass,10.00%,Sweet,30.00%,Liquid,50.00%,Moderate,50.00%,Steamy,30.00%,Empathy,3.00%,164766162,https://ipfs.some.place/ipfs/QmWB3yhjbnz6AcTxZkXbssVEY8kwX1EYrYgHpaabJcnP7W
