Potion Number,Ranking,Artist,Artist Rarity,Element,Element Rarity,Finish,Finish Rarity,Color,Color Rarity,Shape,Shape Rarity,Taste,Taste Rarity,Matter,Matter Rarity,Potency,Potency Rarity,Temperature,Temperature Rarity,Superpower,Superpower Rarity,tokenid,ipfsnew
61,1528,,,Marble,10.33%,Roman Ornate,0.33%,Black,3.67%,Drillbit,10.00%,Salty,30.00%,Plasma,8.00%,Mild,40.00%,Steamy,30.00%,Love,5.00%,164751859,https://ipfs.some.place/ipfs/QmccL2jrJE5TkRTfDydti8urmzJy29M3GBwECMMX4b9pKV
2449,1529,,,Marble,10.33%,Rosso Levanto,0.67%,Rosso,0.67%,Original,10.00%,Salty,30.00%,Liquid,50.00%,Severe,9.00%,Ambient,41.00%,Compassion,2.00%,164766590,https://ipfs.some.place/ipfs/Qmc1d4oM22D8tCfaaCYXATXt87x7s28aBvxqhKELdfrvgi
1724,1530,,,Snow,3.33%,Windspread,0.33%,White,3.33%,Wormhole,10.00%,Salty,30.00%,Liquid,50.00%,Moderate,50.00%,Toasty,22.00%,Kindness,15.00%,164763884,https://ipfs.some.place/ipfs/QmcmAfVNnKeB8mVjtx9sMqHwSyEmUw4T4JpmRUQifFeLtT
612,1531,,,Fabric,5.00%,Cloth,0.33%,Orange,3.67%,Original,10.00%,Sour,21.00%,Liquid,50.00%,Moderate,50.00%,Ambient,41.00%,Patience,5.00%,164757875,https://ipfs.some.place/ipfs/QmS3p6zejcygCC4cEaJKvmK8B7rWB2JYCoQ5FvefLr91Ns
2479,1532,,,Marble,10.33%,Bianco Carrara Gioia,0.33%,White,3.33%,Spool,10.00%,Sweet,30.00%,Solid,30.00%,Mild,40.00%,Toasty,22.00%,Gratitude,4.00%,164767007,https://ipfs.some.place/ipfs/QmPJTaN7m9Te6E7HGYEQTYztozZojxMnAtJ4iEGbms846i
1541,1533,,,Plaster,5.67%,Drywall,0.33%,Eggshell,3.67%,Wormhole,10.00%,Sour,21.00%,Solid,30.00%,Moderate,50.00%,Steamy,30.00%,Artistry,5.00%,164763227,https://ipfs.some.place/ipfs/QmTXiPQgiEfhMcs63ZxpMDAxqXzuvaZSMotNYRtLpfbpMU
338,1534,,,Plaster,5.67%,Textured,2.33%,Rosado,0.33%,Spool,10.00%,Salty,30.00%,Liquid,50.00%,Mild,40.00%,Steamy,30.00%,Kindness,15.00%,164754627,https://ipfs.some.place/ipfs/QmXfu41RJkjAK8TqSYbcMgUF7MU2EFxTAWTn9cDF5MdVS6
2735,1535,,,Marble,10.33%,Roman Trim,0.33%,Tan,4.67%,Carrot,10.00%,Sweet,30.00%,Solid,30.00%,Mild,40.00%,Toasty,22.00%,Honesty,3.00%,164768029,https://ipfs.some.place/ipfs/QmRqEnSzrGXj6EDZy3LeybpZ2wrSSkRThhyvHciUZmW6xU
1256,1536,,,Cork,2.67%,Wear & Tear,0.33%,Tan,4.67%,Hourglass,10.00%,Bitter,18.00%,Liquid,50.00%,Mild,40.00%,Ambient,41.00%,Pride,15.00%,164762506,https://ipfs.some.place/ipfs/QmUpWK7ABD7hKfZrmcgZ9SfBhGcPPuqVucYWvzvu4J3rZ3
1787,1537,,,Flora,4.67%,Moss Patch,0.33%,Gray,5.33%,Classic,10.00%,Bitter,18.00%,Liquid,50.00%,Moderate,50.00%,Steamy,30.00%,Gratitude,4.00%,164764190,https://ipfs.some.place/ipfs/QmVjDdrdGEXPpNYv5gtQZFDEbyTkqTDWENyWJ9fCrcwxC1
534,1538,,,Marble,10.33%,Mosaic,2.00%,Burnt Orange,0.33%,Spool,10.00%,Sour,21.00%,Liquid,50.00%,Mild,40.00%,Ambient,41.00%,Kindness,15.00%,164756901,https://ipfs.some.place/ipfs/QmbSeHhgAeAgWrCD1cryrGwpfRe5ihiusg8VM7HCPiNhKj
2582,1539,,,Marble,10.33%,Rosso Levanto,0.67%,Rosso,0.67%,Carrot,10.00%,Sweet,30.00%,Condensate,10.00%,Mild,40.00%,Ambient,41.00%,Loyalty,2.00%,164767553,https://ipfs.some.place/ipfs/QmVwYUcngTL1SoGKYoJPWdMY2jPTBS1HUfQQHmGnUMJuYw
2361,1540,,,Terrain,4.00%,Jungle Roots,0.33%,Brown,4.00%,Original,10.00%,Sour,21.00%,Liquid,50.00%,Severe,9.00%,Steamy,30.00%,Kindness,15.00%,164766494,https://ipfs.some.place/ipfs/QmZPVHVtZvKJCRZccyrg8zFDzAKU2L9Y4axK1f4wTNFE3C
1642,1541,,,Concrete,9.00%,Quilt,0.33%,Polychromatic,2.67%,Edamame,10.00%,Sour,21.00%,Plasma,8.00%,Moderate,50.00%,Steamy,30.00%,Pride,15.00%,164763587,https://ipfs.some.place/ipfs/QmUUmGQQVxzC8HMV5EHadg3Ea3844foupve5yzF1gfxnDt
1955,1542,,,Marble,10.33%,Fantasy,0.33%,Brown,4.00%,Carrot,10.00%,Sweet,30.00%,Liquid,50.00%,Moderate,50.00%,Ambient,41.00%,Sympathy,3.00%,164765030,https://ipfs.some.place/ipfs/QmUPaDQTJ7TRSFYTuBcc4Rx5C7cASoa1P4gTN6k1w39MtX
2218,1543,,,Concrete,9.00%,Raked,0.33%,White,3.33%,Blimp,10.00%,Salty,30.00%,Condensate,10.00%,Moderate,50.00%,Toasty,22.00%,Charm,6.00%,164765807,https://ipfs.some.place/ipfs/QmdfkXVX82Z3pEo4HKGkiwCjjZhjoZBb5B5dCbaZVEvB22
1094,1544,,,Cork,2.67%,Wear & Tear,0.33%,Tan,4.67%,Blimp,10.00%,Salty,30.00%,Solid,30.00%,Moderate,50.00%,Steamy,30.00%,Kindness,15.00%,164761970,https://ipfs.some.place/ipfs/QmWSsgQjKh3hq3WxjmmYeqMur7tU2ADC2MDnc6iASvak2z
1012,1545,,,Marble,10.33%,Mosaic,2.00%,Burnt Orange,0.33%,Edamame,10.00%,Sour,21.00%,Liquid,50.00%,Moderate,50.00%,Ambient,41.00%,Kindness,15.00%,164761666,https://ipfs.some.place/ipfs/QmUKytXLoXJU8Ff6Jbgxh6ZvpUX3C4DyxKwWGbTCKoDcwp
2286,1546,,,Plaster,5.67%,Textured,2.33%,Rosado,0.33%,Edamame,10.00%,Salty,30.00%,Liquid,50.00%,Mild,40.00%,Ambient,41.00%,Kindness,15.00%,164766113,https://ipfs.some.place/ipfs/QmUT81pea2gLqPJuDbKcJnqRU49zvz9mSgfAGXyiH4ya83
889,1547,,,Marble,10.33%,Roman Trim,0.33%,Tan,4.67%,Blimp,10.00%,Bitter,18.00%,Liquid,50.00%,Moderate,50.00%,Steamy,30.00%,Fairness,3.00%,164761218,https://ipfs.some.place/ipfs/QmYoZK1xCuo5sMkSjWPipDgt8m2F8axTdauz77guJoDjVU
567,1548,,,Ceramic,7.67%,Hexagon Tiles,0.33%,Black,3.67%,Hourglass,10.00%,Sweet,30.00%,Liquid,50.00%,Moderate,50.00%,Toasty,22.00%,Gratitude,4.00%,164757315,https://ipfs.some.place/ipfs/QmSPKD8Ccv2igmihQMf7hQEbwcmZYoA5TUR2WoEaQEeGte
2194,1549,,,Ceramic,7.67%,Rhombus,0.33%,Polychromatic,2.67%,Original,10.00%,Salty,30.00%,Condensate,10.00%,Moderate,50.00%,Toasty,22.00%,Kindness,15.00%,164765781,https://ipfs.some.place/ipfs/QmR4SSptxKn45u9sK5g5Lxskiiw45dFsELtfihyZps2fe4
1745,1550,,,Ceramic,7.67%,Flower,0.33%,Rose,3.00%,Spool,10.00%,Salty,30.00%,Liquid,50.00%,Moderate,50.00%,Steamy,30.00%,Courtesy,5.00%,164763907,https://ipfs.some.place/ipfs/QmS8q6cq6NYEXKvQ1fmgXtuQDCoHrmhngKivezFBkEcaEp
2930,1551,,,Ceramic,7.67%,Flower,0.33%,Rose,3.00%,Classic,10.00%,Sweet,30.00%,Liquid,50.00%,Moderate,50.00%,Steamy,30.00%,Courtesy,5.00%,164769123,https://ipfs.some.place/ipfs/QmaHdksrieskaYe8Uhx1fRbaxzcG7A8eH13HGb2e8SvjbU
2559,1552,,,Ceramic,7.67%,Checkered,0.67%,Black & Whites,0.67%,Classic,10.00%,Salty,30.00%,Liquid,50.00%,Moderate,50.00%,Chilled,2.00%,Pride,15.00%,164767527,https://ipfs.some.place/ipfs/QmQs3j4NnfK8FchQSpCyuoU7FTVeYz8Rnk3kP5DDtSQnBw
2252,1553,,,Clay,2.00%,Monochromatic Mosaic,0.67%,Blood Orange,0.67%,Original,10.00%,Sour,21.00%,Liquid,50.00%,Severe,9.00%,Ambient,41.00%,Kindness,15.00%,164766076,https://ipfs.some.place/ipfs/QmW7h5u2vUhFv2iqgAFRXXiVJA5mHheqH35rp3swaBAdfH
2622,1554,,,Concrete,9.00%,Quilt,0.33%,Polychromatic,2.67%,Classic,10.00%,Salty,30.00%,Condensate,10.00%,Moderate,50.00%,Toasty,22.00%,Elegance,12.00%,164767597,https://ipfs.some.place/ipfs/QmYy1DQ5YPAc8YnV45YhYpETBo857Suk2ccAMGAvPPtKy9
1361,1555,,,Clay,2.00%,Monochromatic Mosaic,0.67%,Blood Orange,0.67%,Wormhole,10.00%,Sour,21.00%,Condensate,10.00%,Moderate,50.00%,Steamy,30.00%,Kindness,15.00%,164762804,https://ipfs.some.place/ipfs/QmVy6kNxFXMUmWwnvryKUMhHFG7JQQPQMApHyQ4Xsa2onZ
1034,1556,,,Fabric,5.00%,Tarp,0.67%,Turquoise,0.67%,Carrot,10.00%,Bitter,18.00%,Plasma,8.00%,Moderate,50.00%,Steamy,30.00%,Courage,3.00%,164761690,https://ipfs.some.place/ipfs/QmRvfQpRcX3BdPc8Zw7oeShXx44vDXtonrCP9fEmPBVMdL
1528,1557,,,Marble,10.33%,Mosaic,2.00%,Burnt Orange,0.33%,Blimp,10.00%,Salty,30.00%,Liquid,50.00%,Mild,40.00%,Ambient,41.00%,Pride,15.00%,164763212,https://ipfs.some.place/ipfs/QmS7sWun59dPPQr2GxZH3x8aLHMbpMce4bZVYvaNrgRXod
1065,1558,,,Fiber Glass,0.67%,Sharp,0.67%,Yellow,2.33%,Original,10.00%,Sweet,30.00%,Solid,30.00%,Mild,40.00%,Toasty,22.00%,Love,5.00%,164761938,https://ipfs.some.place/ipfs/QmThhHH5kyPhHpJz4HirQACj4MBNBWMVCGX4h2A2CZFN9P
322,1559,,,Ceramic,7.67%,Checkered,0.67%,Black & Whites,0.67%,Original,10.00%,Sour,21.00%,Solid,30.00%,Moderate,50.00%,Boling,5.00%,Honesty,3.00%,164754515,https://ipfs.some.place/ipfs/QmP1nxrC6cu18uGZNzZu7Gpz1NQ7c13UP5DFYPMcHeF1zT
1576,1560,,,Snow,3.33%,Windspread,0.33%,White,3.33%,Classic,10.00%,Sweet,30.00%,Liquid,50.00%,Moderate,50.00%,Ambient,41.00%,Pride,15.00%,164763514,https://ipfs.some.place/ipfs/QmUKBgcph967EEwGMig4iEXxuT874q2uHYsKm84xZB1K2r
1300,1561,,,Concrete,9.00%,Salted,0.33%,Rose,3.00%,Edamame,10.00%,Bitter,18.00%,Liquid,50.00%,Moderate,50.00%,Ambient,41.00%,Love,5.00%,164762555,https://ipfs.some.place/ipfs/QmUDRVMSKF8PpVE8jHReMFYGte2ZrV2Drx12QCJAYmcwAL
2970,1562,,,Wood,7.67%,Long Hexagon,0.33%,White,3.33%,Original,10.00%,Bitter,18.00%,Liquid,50.00%,Mild,40.00%,Steamy,30.00%,Love,5.00%,164769818,https://ipfs.some.place/ipfs/QmdTYF9AVQrjox2bBmBrnyzbPafrqnuKfmX3MoEJJrUbUe
2349,1563,,,Flora,4.67%,Moss Patch,0.33%,Gray,5.33%,Drillbit,10.00%,Salty,30.00%,Solid,30.00%,Moderate,50.00%,Ambient,41.00%,Gratitude,4.00%,164766182,https://ipfs.some.place/ipfs/QmdZU8s7MS2X47YtdFzv9d789SgvRiqpv7zgUbNMvBCcgV
2138,1564,,,Marble,10.33%,Polished Terrazzo,0.33%,Tan,4.67%,Wormhole,10.00%,Sweet,30.00%,Plasma,8.00%,Mild,40.00%,Boling,5.00%,Kindness,15.00%,164765451,https://ipfs.some.place/ipfs/QmZnGyCzMFMcQKkqD7Uog4xTDrH7kvHRE4yRgnWm3WsZqT
1811,1565,,,Marble,10.33%,Roman Ornate,0.33%,Black,3.67%,Edamame,10.00%,Sour,21.00%,Solid,30.00%,Mild,40.00%,Steamy,30.00%,Gratitude,4.00%,164764217,https://ipfs.some.place/ipfs/QmUdLea8D4voGEmnyTBdbwprGKWztDhUbTdrEn95w8puP6
2796,1566,,,Terrain,4.00%,Dry Patch,0.33%,Brown,4.00%,Drillbit,10.00%,Salty,30.00%,Condensate,10.00%,Mild,40.00%,Steamy,30.00%,Pride,15.00%,164768589,https://ipfs.some.place/ipfs/QmeDG5Z4bXVbfqgUrjGJ78WpeYkZ1Xyz6zoohbG78RHcbx
1007,1567,,,Ceramic,7.67%,Dotted,0.33%,Eggshell,3.67%,Original,10.00%,Bitter,18.00%,Solid,30.00%,Moderate,50.00%,Toasty,22.00%,Patience,5.00%,164761660,https://ipfs.some.place/ipfs/QmXSy9Z7NSDQ8jGAqoa8j9rKUMKbrowsEMthPQhzLq98Pf
